"","P46","01","A","B","D","F","G","044","075","0150","0243","6","33","81","104","256","263","365","424","436","459","1175","1241","1319","1573","1739","1852","1881","1912","1962","2127","2200","2464","Byz","K","L","P","Lect","it-ar","it-b","it-d","it-f","it-g","it-o","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","geo","slav"
"P46",0,0.469,0.684,0.382,0.618,0.529,0.559,0.647,0.677,0.606,0.424,0.676,0.5,0.618,0.618,0.706,0.735,0.706,0.676,0.647,0.647,0.545,0.706,0.781,0.706,0.412,0.676,0.5,0.618,0.515,0.735,0.576,0.688,0.7,0.727,0.697,0.667,0.677,0.676,0.613,0.545,0.647,0.529,0.529,0.581,0.586,0.593,0.31,0.484,0.606,0.636,0.714,0.727
"01",0.469,0,0.238,0.474,0.605,0.474,0.421,0.5,0.6,0.486,0.378,0.579,0.189,0.368,0.605,0.447,0.622,0.5,0.632,0.579,0.605,0.432,0.579,0.486,0.421,0.395,0.658,0.395,0.658,0.432,0.447,0.676,0.556,0.559,0.622,0.676,0.541,0.6,0.684,0.529,0.568,0.447,0.447,0.605,0.514,0.545,0.613,0.353,0.314,0.611,0.423,0.577,0.622
"A",0.684,0.238,0,0.565,0.522,0.478,0.391,0.348,0.556,0.455,0.478,0.478,0.304,0.391,0.522,0.391,0.522,0.435,0.522,0.565,0.478,0.522,0.478,0.381,0.348,0.478,0.652,0.565,0.609,0.5,0.348,0.609,0.545,0.476,0.455,0.591,0.5,0.565,0.609,0.476,0.522,0.565,0.565,0.609,0.545,0.45,0.579,0.429,0.476,0.545,0.438,0.562,0.636
"B",0.382,0.474,0.565,0,0.6,0.55,0.55,0.7,0.714,0.564,0.41,0.625,0.359,0.375,0.525,0.45,0.615,0.5,0.625,0.6,0.55,0.385,0.65,0.541,0.5,0.4,0.675,0.45,0.55,0.385,0.5,0.667,0.526,0.639,0.692,0.59,0.513,0.649,0.575,0.556,0.59,0.6,0.625,0.55,0.541,0.657,0.667,0.314,0.378,0.579,0.556,0.593,0.641
"D",0.618,0.605,0.522,0.6,0,0.425,0.375,0.475,0.486,0.59,0.641,0.525,0.667,0.575,0.55,0.575,0.59,0.55,0.525,0.625,0.55,0.667,0.525,0.595,0.625,0.625,0.55,0.6,0.6,0.513,0.55,0.615,0.553,0.472,0.538,0.436,0.564,0.432,0.425,0.417,0.256,0.5,0.375,0.425,0.514,0.514,0.515,0.543,0.622,0.632,0.407,0.556,0.615
"F",0.529,0.474,0.478,0.55,0.425,0,0.05,0.575,0.6,0.513,0.564,0.525,0.564,0.525,0.55,0.55,0.59,0.6,0.55,0.65,0.55,0.615,0.525,0.595,0.55,0.525,0.6,0.65,0.65,0.564,0.55,0.641,0.605,0.528,0.59,0.513,0.615,0.486,0.475,0.389,0.41,0.375,0.2,0.425,0.514,0.457,0.515,0.514,0.486,0.605,0.37,0.63,0.564
"G",0.559,0.421,0.391,0.55,0.375,0.05,0,0.575,0.571,0.513,0.538,0.475,0.513,0.475,0.5,0.5,0.538,0.55,0.55,0.65,0.5,0.615,0.525,0.541,0.5,0.5,0.55,0.6,0.65,0.513,0.5,0.615,0.553,0.5,0.564,0.487,0.59,0.486,0.475,0.389,0.41,0.375,0.2,0.475,0.514,0.457,0.455,0.514,0.486,0.605,0.407,0.667,0.59
"044",0.647,0.5,0.348,0.7,0.475,0.575,0.575,0,0.229,0.256,0.462,0.325,0.564,0.45,0.375,0.325,0.256,0.275,0.225,0.325,0.325,0.462,0.25,0.297,0.325,0.475,0.275,0.4,0.4,0.385,0.3,0.333,0.316,0.139,0.205,0.282,0.231,0.216,0.55,0.5,0.513,0.5,0.575,0.475,0.459,0.286,0.303,0.486,0.459,0.342,0.333,0.222,0.333
"075",0.677,0.6,0.556,0.714,0.486,0.6,0.571,0.229,0,0.235,0.588,0.314,0.559,0.486,0.4,0.314,0.265,0.257,0.143,0.343,0.343,0.5,0.143,0.281,0.314,0.6,0.229,0.4,0.229,0.412,0.286,0.294,0.424,0.065,0.118,0.206,0.265,0.094,0.543,0.516,0.588,0.514,0.571,0.514,0.531,0.333,0.25,0.581,0.562,0.424,0.609,0.217,0.265
"0150",0.606,0.486,0.455,0.564,0.59,0.513,0.513,0.256,0.235,0,0.553,0.359,0.474,0.41,0.333,0.308,0.237,0.256,0.205,0.436,0.282,0.526,0.154,0.306,0.256,0.564,0.282,0.41,0.333,0.342,0.282,0.395,0.342,0.167,0.184,0.263,0.158,0.194,0.538,0.571,0.605,0.564,0.538,0.41,0.568,0.371,0.281,0.5,0.472,0.324,0.423,0.231,0.289
"0243",0.424,0.378,0.478,0.41,0.641,0.564,0.538,0.462,0.588,0.553,0,0.41,0.342,0.436,0.436,0.41,0.474,0.462,0.513,0.462,0.462,0.282,0.538,0.444,0.436,0.026,0.538,0.231,0.513,0.342,0.41,0.368,0.405,0.486,0.553,0.553,0.447,0.528,0.641,0.6,0.579,0.462,0.564,0.615,0.459,0.471,0.5,0.353,0.417,0.486,0.556,0.462,0.5
"6",0.676,0.579,0.478,0.625,0.525,0.525,0.475,0.325,0.314,0.359,0.41,0,0.538,0.45,0.25,0.3,0.205,0.25,0.275,0.325,0.25,0.462,0.275,0.189,0.35,0.425,0.3,0.275,0.325,0.333,0.275,0.282,0.316,0.222,0.308,0.256,0.282,0.216,0.575,0.5,0.538,0.55,0.6,0.55,0.568,0.286,0.273,0.514,0.568,0.395,0.519,0.37,0.333
